a, ʌ
acuson, ækjusʌn
acustar, ækjustɑr
acusyst, ækjusɪst
acute, ʌkjut
acutely, ʌkjutlɪ
acuteness, ʌkjutnʌs
acyclovir, ʌsɪkloʊvɪr
ad, æd
ad's, ædz
ad-hoc, ædhɑk
ad-lib, ædlɪb
ad-nauseum, ædnɔzɪʌm
ada, ejdʌ
ada's, ejdʌz
adabel, ædʌbɛl
adabelle, ædʌbʌl
adachi, ɑdɑkɪ
adage, ædʌʤ
adage(1), ædɪʤ
adagio, ʌdɑʒɪoʊ
adah, ædɑ
adair, ʌdɛr
adaire, ɑdɛr
adak, ʌdæk
adalah, ɑdɑlʌ
adalia, ɑdɑlɪʌ
adam, ædʌm
adam's, ædʌmz
adamant, ædʌmʌnt
adamantly, ædʌmʌntlɪ
adamcik, ɑdʌmʧɪk
adamczak, ɑdʌmʧæk
adamczyk, ɑdʌmʧɪk
adame, ɑdɑmɪ
adamec, ʌdɑmɪk
adamek, ʌdɑmɛk
adames, ʌdejmz
adami, ɑdɑmɪ
adamik, ʌdɑmɪk
adamina, ɑdɑmɪnʌ
adamkus, ædʌmkʌs
adamo, ɑdɑmoʊ
adamowicz, ʌdɑmʌvɪʧ
adams, ædʌmz
adams', ædʌmz
adams's, ædʌmzɪz
adamski, ʌdæmskɪ
adamson, ædʌmsʌn
adamstown, ædʌmstaʊn
adan, ejdʌn
adapso, ʌdæpsoʊ
adapt, ʌdæpt
adaptability, ʌdæptʌbɪlʌtɪ
adaptable, ʌdæptʌbʌl
adaptaplex, ʌdæptʌplɛks
adaptation, ædʌptejʃʌn
adaptations, ædæptejʃʌnz
adaptations(1), ædʌptejʃʌnz
adaptec, ʌdæptɛk
adaptec's, ʌdæptɛks
adapted, ʌdæptʌd
adapted(1), ʌdæptɪd
adapter, ʌdæptɚ
adapters, ʌdæptɚz
adapting, ʌdæptɪŋ
adaptive, ʌdæptɪv
adaptor, ʌdæptɚ
adaptors, ʌdæptɚz
adapts, ʌdæpts
adar, ʌdɑr
adarand, ædʌrænd
adas, ejdʌz
aday, ʌdej
adaza, ʌdɑzʌ
adcock, ʌdkɑk
adcox, ʌdkɑks
add, æd
addair, ʌdɛr
addams, ædʌmz
added, ædʌd
added(1), ædɪd
addendum, ʌdɛdʌm
addendums, ʌdɛdʌmz
addeo, ɑdɪoʊ
adder, ædɚ
adderley, ʌdɚlɪ
addicks, ædɪks
addict, ʌdɪkt
addict(1), ædɪkt
addicted, ʌdɪktʌd
addicted(1), ʌdɪktɪd
addicting, ʌdɪktɪŋ
addiction, ʌdɪkʃʌn
addictions, ʌdɪkʃʌnz
addictive, ʌdɪktɪv
addicts, ʌdɪkts
addicts(1), ædɪkts
addidas, ʌdɪdʌs
addidas', ʌdɪdʌs
addidas's, ʌdɪdʌsɪz
addidases, ʌdɪdʌsɪz
addie, ædɪ
adding, ædɪŋ
addington, ædɪŋtʌn
addis, ɑdɪs
addis-ababa, ɑdɪsʌbɑbʌ
addis-ababa(1), ɑdɪsʌbɑbʌ
addison, ædʌsʌn
addison(1), ædɪsʌn
addison's, ædɪsʌnz
addition, ʌdɪʃʌn
additional, ʌdɪʃʌnʌl
additional(1), ʌdɪʃnʌl
additionally, ʌdɪʃʌnʌlɪ
additionally(1), ʌdɪʃnʌlɪ
additions, ʌdɪʃʌnz
additive, ædʌtɪv
additive(1), ædɪtɪv
additives, ædʌtɪvz
additives(1), ædɪtɪvz
addle, ædʌl
addled, ædʌld
addleman, ædʌlmʌn
address, ædrɛs
address(1), ʌdrɛs
addressable, ʌdrɛsʌbʌl
addressed, ʌdrɛst
addressee, ædrɛsɪ
addresses, ædrɛsɪz
addresses(1), ʌdrɛsɪz
addressing, ʌdrɛsɪŋ
adds, ædz
adduci, ɑduʧɪ
adduct, ædʌkt
addwest, ædwɛst
addy, ædɪ
addyston, ædɪstʌn
ade, ejd
adee, ʌdɪ
adel, ʌdɛl
adela, ʌdɛlʌ
adelaar, ædʌlɑr
adelaide, ædʌlejd
adelanto, ædʌlɑntoʊ
adelbert, ʌdɛlbɚt
adele, ʌdɛl
adele's, ʌdɛlz
adeline, ædʌlajn
adelizzi, ædʌlɪzɪ
adell, ʌdɛl
adell's, ʌdɛlz
adelle, ʌdɛl
adelman, ædʌlmʌn
adelman(1), ɛdʌlmʌn
adelmann, ædʌlmʌn
adelpha, ʌdɛlfʌ
adelphi, ʌdɛlfɪ
adelphia, ʌdɛlfɪʌ
adelphia's, ʌdɛlfɪʌz
adelsberger, ædɪlzbɚgɚ
adelson, ædʌlsʌn
adelstein, ædʌlstajn
adelstein(1), ædʌlstɪn
aden, ejdʌn
adena, ædɪnʌ
adenauer, ejdʌnaʊr
adenauer(1), ædʌnaʊr
adenine, ædʌnɪn
adenoid, ædʌnɔjd
adenoids, ædʌnɔjdz
adenoscan, ʌdɛnʌskæn
adenosine, ʌdɛnʌsɪn
adenovirus, ʌdɛnʌvajrʌs
adept, ʌdɛpt
adequacy, ædʌkʊʌsɪ
adequate, ædʌkʊʌt
adequate(1), ædʌkʊejt
adequately, ædʌkʊʌtlɪ
adequately(1), ædʌkʊɪtlɪ
ader, ejdɚ
aderhold, ædɚhoʊld
aderholt, ædɚhoʊlt
aderman, ædɚmʌn
ades, ejdz
adey, ejdɪ
adger, æʤɚ
adham, ædhæm
adhere, ʌdhɪr
adhered, ædhɪrd
adherence, ʌdhɪrʌns
adherent, ʌdhɪrʌnt
adherents, ædhɪrʌnts
adheres, ʌdhɪrz
adhering, ʌdhɪrɪŋ
adhesion, ædhɪʒʌn
adhesive, ædhɪsɪv
adhesive(1), ʌdhɪsɪv
adhesives, ædhɪsɪvz
adhesives(1), ʌdhɪsɪvz
adia, ɑdɪʌ
adid, ʌdɪd
adidas, ʌdɪdʌs
adidas's, ʌdɪdʌsɪz
adieu, ʌdu
adin, ʌdɪn
adina, ɑdɪnʌ
adine, ɑdɪnɪ
adinolfi, ɑdɪnoʊlfɪ
adios, ɑdɪoʊs
adipose, ædʌpoʊs
adirondack, ædɚɑndæk
adisq, ʌdɪsk
adisq(1), ejdɪsk
adjacent, ʌʤejsʌnt
adjani, ædʤɑnɪ
adjective, æʤɪktɪv
adjectives, æʤɪktɪvz
adjoin, ʌʤɔjn
adjoining, ʌʤɔjnɪŋ
adjoins, ʌʤɔjnz
adjourn, ʌʤɚn
adjourned, ʌʤɚnd
adjourning, ʌʤɚnɪŋ
adjournment, ʌʤɚnmʌnt
adjourns, ʌʤɚnz
adjudge, ʌʤʌʤ
adjudged, ʌʤʌʤd
adjudicate, ʌʤudɪkejt
adjudicated, ʌʤudʌkejtɪd
adjudicating, ʌʤudɪkejtɪŋ
adjudication, ʌʤudʌkejʃʌn
adjunct, æʤʌŋkt
adjuncts, æʤʌŋkts
adjust, ʌʤʌst
adjustable, ʌʤʌstʌbʌl
adjustables, ʌʤʌstʌbʌlz
adjusted, ʌʤʌstʌd
adjusted(1), ʌʤʌstɪd
adjuster, ʌʤʌstɚ
adjusters, ʌʤʌstɚz
adjusting, ʌʤʌstɪŋ
adjustment, ʌʤʌstmʌnt
adjustments, ʌʤʌstmʌnts
adjusts, ʌʤʌsts
adjusts(1), ʌʤʌs
adjutant, æʤʌtʌnt
adkins, ædkɪnz
adkinson, ædkɪnsʌn
adkison, ædkɪsʌn
adkisson, ædkɪsʌn
adl-tabataba, ɑdʌltɑbʌtɑbʌ
adl-tabatabai, ɑdʌltɑbʌtʌbaj
adlai, ɑdlɑɪ
adler, ædlɚ
adler's, ædlɚz
adlers, ædlɚz
adley, ædlɪ
adlon, ædlɑn
adlong, ædlɔŋ
adman, ædmʌn
admen, ædmʌn
administer, ʌdmɪnʌstɚ
administered, ʌdmɪnʌstɚd
administering, ædmɪnɪstɚɪŋ
administers, ædmɪnɪstɚz
administrate, ædmɪnɪstrejt
administrating, ʌdmɪnʌstrejtɪŋ
administration, ædmɪnɪstrejʃʌn
administration's, ædmɪnɪstrejʃʌnz
administrations, ædmɪnɪstrejʃʌnz
administrations', ædmɪnɪstrejʃʌnz
administrative, ʌdmɪnʌstrejtɪv
administratively, ædmɪnʌstrejtɪvlɪ
administrator, ʌdmɪnʌstrejtɚ
administrator's, ædmɪnɪstrejtɚz
administrators, ædmɪnɪstrejtɚz
administrators', ædmɪnʌstrejtɚz
admira, ædmajrʌ
admira's, ædmajrʌz
admirable, ædmɚʌbʌl
admirable(1), ædmrʌbʌl
admirably, ædmɚʌblɪ
admiral, ædmɚʌl
admiral's, ædmɚʌlz
admirals, ædmɚʌlz
admiralty, ædmɚʌltɪ
admiration, ædmɚejʃʌn
admirations, ædmɚejʃʌnz
admire, ædmajr
admired, ʌdmajɚd
admirer, ædmajrɚ
admirers, ʌdmajrɚz
admires, ædmajrz
admiring, ædmajrɪŋ
admiringly, ædmajrɪŋlɪ
admissibility, ʌdmɪsʌbɪlʌtɪ
admissible, ʌdmɪsʌbʌl
admission, ædmɪʃʌn
admission(1), ʌdmɪʃʌn
admissions, ædmɪʃʌnz
admissions(1), ʌdmɪʃʌnz
admit, ʌdmɪt
admits, ʌdmɪts
admittance, ʌdmɪtʌns
admitted, ʌdmɪtʌd
admittedly, ædmɪtɪdlɪ
admitting, ædmɪtɪŋ
admitting(1), ʌdmɪtɪŋ
admonish, ædmɑnɪʃ
admonished, ʌdmɑnɪʃt
admonishes, ædmɑnɪʃɪz
admonishing, ædmɑnɪʃɪŋ
admonishment, ædmɑnɪʃmɛnt
admonition, ædmʌnɪʃʌn
admonitions, ædmʌnɪʃʌnz
adnan, ædnʌn
adney, ædnɪ
ado, ʌdu
adobe, ʌdoʊbɪ
adobe's, ʌdoʊbɪz
adolescence, ædʌlɛsʌns
adolescence(1), ædoʊlɛsʌns
adolescent, ædʌlɛsʌnt
adolescent(1), ædoʊlɛsʌnt
adolescents, ædʌlɛsʌnts
adolescents(1), ædoʊlɛsʌnts
adolf, ejdɑlf
adolf's, ejdɑlfs
adolfo, ʌdɑlfoʊ
adolph, ejdɔlf
adolpha, ɑdoʊlfʌ
adolphson, ædoʊlfsʌn
adolphus, ʌdɔlfʌs
adon, ɑdɔn
adonia, ɑdoʊnɪʌ
adonis, ʌdɑnʌs
adopt, ʌdɑpt
adoptable, ʌdɑptʌbʌl
adopted, ʌdɑptʌd
adoptee, ʌdɑptɪ
adoptees, ʌdɑptɪz
adopter, ʌdɑptɚ
adopters, ʌdɑptɚz
adopting, ʌdɑptɪŋ
adoption, ʌdɑpʃʌn
adoptions, ʌdɑpʃʌnz
adoptive, ʌdɑptɪv
adopts, ʌdɑpts
ador, ɑdɔr
adora, ɑdɔrʌ
adorabelle, ædɚʌbʌl
adorable, ʌdɔrʌbʌl
adoration, ædɚejʃʌn
adore, ʌdɔr
adored, ʌdɔrd
adoree, ædɚɪ
adorees, ædɚɪz
adores, ʌdɔrz
adoring, ʌdɔrɪŋ
adorn, ʌdɔrn
adorna, ɑdɔrnʌ
adorned, ʌdɔrnd
adorning, ʌdɔrnɪŋ
adornment, ʌdɔrnmʌnt
adorno, ɑdɔrnoʊ
adorns, ʌdɔrnz
adra, ejdrʌ
adragna, ɑdrɑgnʌ
adrda, ejdɚdʌ
adrea, ɑdrɪʌ
adrenal, ʌdrɪnʌl
adrenalin, ʌdrɛnʌlɪn
adrenaline, ʌdrɛnʌlʌn
adria, ɑdrɪʌ
adrian, ejdrɪʌn
adriana, ejdrɪænʌ
adriance, ɑdrɪʌns
adriano, ɑdrɪɑnoʊ
adriatic, ejdrɪætɪk
adriel, ʌdrɪl
adrienne, ɑdrɪɛn
adrift, ʌdrɪft
adroit, ʌdrɔjt
adroitly, ʌdrɔjtlɪ
ads, ædz
ads', ædz
adsit, ædsɪt
adss, æds
adss(1), ejdɪɛsɛs
adstar, ædstɑr
adsteam, ædstɪm
adtec, ædtɛk
adulate, æʤʌlejt
adulation, æʤʌlejʃʌn
aduliadae, ʌdulɪɑdej
adult, ʌdʌlt
adult(1), ædʌlt
adulterate, ʌdʌltɚejt
adulterated, ʌdʌltɚejtɪd
adulterates, ʌdʌltɚejts
adulteration, ʌdʌltɚejʃʌn
adulterer, ʌdʌltɚɚ
adulterers, ʌdʌltɚɚz
adulterous, ʌdʌltɚʌs
adultery, ʌdʌltɚɪ
adulthood, ʌdʌlthʊd
adults, ʌdʌlts
adults(1), ædʌlts
adults', ʌdʌlts
adults'(1), ædʌlts
adusdur, ædʌsdɚ
advacare, ædvʌkɛr
advalue, ædvʌlu
advance, ʌdvæns
advance's, ʌdvænsʌz
advance's(1), ʌdvænsɪz
advanced, ʌdvænst
advancement, ʌdvænsmʌnt
advancements, ʌdvænsmʌnts
advancer, ʌdvænsɚ
advancers, ʌdvænsɚz
advances, ʌdvænsʌz
advances(1), ʌdvænsɪz
advancing, ʌdvænsɪŋ
advani, ædvɑnɪ
advanta, ædvæntʌ
advanta(1), ʌdvæntʌ
advanta's, ædvæntʌz
advanta's(1), ʌdvæntʌz
advantage, ædvæntɪʤ
advantage(1), ʌdvæntɪʤ
advantage(2), ædvænɪʤ
advantage(3), ʌdvænʌʤ
advantaged, ædvæntɪʤd
advantaged(1), ʌdvæntɪʤd
advantaged(2), ædvænɪʤd
advantaged(3), ʌdvænɪʤd
advantageous, ædvʌntejʤʌs
advantages, ædvæntɪʤɪz
advantages(1), ʌdvæntɪʤɪz
advantages(2), ædvænɪʤɪz
advantages(3), ʌdvænɪʤɪz
advantest, ædvæntʌst
advantest(1), ʌdvæntʌst
advection, ædvɛkʃʌn
advent, ædvɛnt
adventist, ædvɛntɪst
adventists, ædvɛntɪsts
adventists(1), ædvɛntɪs
adventure, ædvɛnʧɚ
adventure(1), ʌdvɛnʧɚ
adventurer, ædvɛnʧɚɚ
adventurer(1), ʌdvɛnʧɚɚ
adventurers, ædvɛnʧɚɚz
adventurers(1), ʌdvɛnʧɚɚz
adventures, ædvɛnʧɚz
adventures(1), ʌdvɛnʧɚz
adventuresome, ædvɛnʧɚsʌm
adventuresome(1), ʌdvɛnʧɚsʌm
adventurism, ædvɛnʧɚɪzʌm
adventurism(1), ʌdvɛnʧɚɪzʌm
adventurous, ædvɛnʧɚʌs
adventurous(1), ʌdvɛnʧɚʌs
adverb, ædvɚb
adverbial, ædvɚbɪʌl
adverbs, ædvɚbz
adversarial, ædvɚsɛrɪʌl
adversaries, ædvɚsɛrɪz
adversary, ædvɚsɛrɪ
adverse, ædvɚs
adverse(1), ædvɚs
adverse(2), ʌdvɚs
adversely, ædvɚslɪ
adversity, ædvɚsɪtɪ
adversity(1), ʌdvɚsɪtɪ
advertise, ædvɚtajz
advertised, ædvɚtajzd
advertised(1), ædvɚtajzd
advertisement, ʌdvɚtʌzmʌnt
advertisement(1), ædvɚtajzmʌnt
advertisements, ædvɚtajzmʌnts
advertiser, ædvɚtajzɚ
advertiser's, ædvɚtajzɚz
advertisers, ædvɚtajzɚz
advertisers', ædvɚtajzɚz
advertises, ædvɚtajzɪz
advertising, ædvɚtajzɪŋ
advertising's, ædvɚtajzɪŋz
advertorial, ædvɚtɔrɪʌl
advertorials, ædvɚtɔrɪʌlz
advest, ædvɛst
advice, ædvajs
advice(1), ʌdvajs
advil, ædvɪl
advil's, ædvɪlz
advisability, ædvajzʌbɪlɪtɪ
advisable, ʌdvajzʌbʌl
advise, ædvajz
advise(1), ʌdvajz
advised, ædvajzd
advised(1), ʌdvajzd
advisedly, ædvajzʌdlɪ
advisedly(1), ʌdvajzʌdlɪ
advisement, ʌdvajzmʌnt
adviser, ædvajzɚ
adviser's, ʌdvajzɚz
advisers, ædvajzɚz
advisers', ædvajzɚz
advises, ædvajzɪz
advising, ædvajzɪŋ
advisor, ædvajzɚ
advisor(1), ʌdvajzɚ
advisories, ʌdvajzɚɪz
advisors, ædvajzɚz
advisors(1), ʌdvajzɚz
advisory, ædvajzɚɪ
advisory(1), ʌdvajzɚɪ
advo, ædvoʊ
advocacy, ædvʌkʌsɪ
advocate, ædvʌkʌt
advocate(1), ædvʌkejt
advocate's, ædvʌkʌts
advocated, ædvʌkejtʌd
advocated(1), ædvʌkejtɪd
advocates, ædvʌkʌts
advocates(1), ædvʌkejts
advocating, ædvʌkejtɪŋ
advocation, ædvʌkejʃʌn
adweek, ædwɪk
adwell, ʌdwɛl
ady, ejdɪ
adz, ædz
ae, ej
aegean, ɪʤɪʌn
aegerter, ɛgɚtɚ
aegis, ɪʤʌs
aegon, ejgɑn
aeltus, æltʌs
aeneas, ænɪʌs
aeneid, ʌnɪɪd
aequitron, ejkʊɪtrɑn
aer, ɛr
aer(1), ejɪɑr
aerial, ɛrɪʌl
aerials, ɛrɪʌlz
aerie, ɛrɪ
aerien, ɛrɪʌn
aeriens, ɛrɪʌnz
aeritalia, ɛrɪtæljʌ
aero, ɛroʊ
aerobatic, ɛrʌbætɪk
aerobatics, ɛrʌbætɪks
aerobic, ɛroʊbɪk
aerobically, ɛroʊbɪklɪ
aerobics, ɚoʊbɪks
aerodrome, ɛrʌdroʊm
aerodromes, ɛrʌdroʊmz
aerodynamic, ɛroʊdajnæmɪk
aerodynamically, ɛroʊdajnæmɪklɪ
aerodynamicist, ɛroʊdajnæmɪsɪst
aerodynamicists, ɛroʊdajnæmɪsɪsts
aerodynamicists(1), ɛroʊdajnæmɪsɪs
aerodynamics, ɛroʊdajnæmɪks
aerodyne, ɛrʌdajn
aerodyne's, ɛrʌdajnz
aeroflot, ɛroʊflɑt
aeroflot's, ɛroʊflɑts
aerogenosa, ɛrʌʤʌnoʊsʌ
aerojet, ɛroʊʤɛt
aerojets, ɛroʊʤɛts
aerolift, ɛroʊlɪft
aerolifts, ɛroʊlɪfts
aerolineas, ɛroʊlɪnɪʌs
aeromar, ɛrʌmɑr
aeromar(1), ɛroʊmɑr
aeromexico, ɛroʊmɛksɪkoʊ
aeromexico's, ɛroʊmɛksɪkoʊz
aeronautic, ɛroʊnɑtʌk
aeronautical, ɛroʊnɑtʌkʌl
aeronautical(1), ɛrʌnɑtʌkʌl
aeronauticas, ɛroʊnɔtɪkʌs
aeronautics, ɛrʌnɔtɪks
aeroperu, ɛroʊpejru
aeroperu's, ɛroʊpejruz
aeroquip, ɛrʌkʊɪp
aerosmith, ɛroʊsmɪθ
aerosmith's, ɛroʊsmɪθs
aerosol, ɛrʌsɑl
aerosols, ɛrʌsɑlz
aerospace, ɛroʊspejs
aerospace's, ɛroʊspejsɪz
aerospatiale, ɛroʊspɑsɪɑl
aerospatiale's, ɛroʊspɑsɪɑlz
aerostar, ɛroʊstɑr
aerostar's, ɛroʊstɑrz
aerostars, ɛroʊstɑrz
aerostat, ɛroʊstæt
aerostat's, ɛroʊstæts
aerostats, ɛroʊstæts
aerotech, ɛroʊtɛk
aerovias, ɛroʊvɪʌz
aerts, ɛrts
aeschelus, ɛskʌlʌs
aeschliman, ɛʃlɪmʌn
aesop, ɪsɑp
aesop's, ɪsɑps
aesthenopia, æsθʌnɔpjʌ
aesthete, ɛsθɪt
aesthete's, ɛsθɪts
aesthetes, ɛsθɪts
aesthetic, ɛsθɛtɪk
aesthetically, ɛsθɛtɪklɪ
aesthetics, ɛsθɛtɪks
aetna, ɛtnʌ
aetna's, ɛtnʌz
afanasyev, æfʌnejsɪɛv
afar, ʌfɑr
affable, æfʌbʌl
affably, æfʌblɪ
affair, ʌfɛr
affair's, ʌfɛrz
affairs, ʌfɛrz
affect, ʌfɛkt
affectation, æfɛktejʃʌn
affected, ʌfɛktʌd
affected(1), ʌfɛktɪd
affecting, ʌfɛktɪŋ
affection, ʌfɛkʃʌn
affectionate, ʌfɛkʃʌnʌt
affectionate(1), ʌfɛkʃʌnɪt
affectionately, ʌfɛkʃʌnʌtlɪ
affections, ʌfɛkʃʌnz
affective, ʌfɛktɪv
affectively, ʌfɛktɪvlɪ
affects, ʌfɛkts
affeldt, æfɪlt
afferent, æfɚʌnt
affiant, æfɪʌnt
affidavit, æfʌdejvʌt
affidavits, æfɪdejvɪts
affiliate, ʌfɪlɪejt
affiliate(1), ʌfɪlɪʌt
affiliate's, ʌfɪlɪejts
affiliated, ʌfɪlɪejtʌd
affiliated(1), ʌfɪlɪejtɪd
affiliated's, ʌfɪlɪejtɪdz
affiliates, ʌfɪlɪʌts
affiliates(1), ʌfɪlɪejts
affiliates', ʌfɪlɪɪts
affiliating, ʌfɪlɪejtɪŋ
affiliation, ʌfɪlɪejʃʌn
affiliations, ʌfɪlɪejʃʌnz
affine, ʌfajn
affined, ʌfajnd
affines, ʌfajnz
affining, ʌfajnɪŋ
affinities, ʌfɪnʌtɪz
affinity, ʌfɪnʌtɪ
affinity(1), ʌfɪnɪtɪ
affirm, ʌfɚm
affirmation, æfɚmejʃʌn
affirmations, æfɚmejʃʌnz
affirmative, ʌfɚmʌtɪv
affirmatively, ʌfɚmʌtɪvlɪ
affirmed, ʌfɚmd
affirming, ʌfɚmɪŋ
affirms, ʌfɚmz
affix, æfɪks
affix(1), ʌfɪks
affixed, ʌfɪkst
affixes, æfɪksɪz
affixes(1), ʌfɪksɪz
affixing, ʌfɪksɪŋ
affleck, æflɪk
afflerbach, æflɚbɑk
afflict, ʌflɪkt
afflicted, ʌflɪktʌd
afflicted(1), ʌflɪktɪd
afflicting, ʌflɪktɪŋ
affliction, ʌflɪkʃʌn
afflictions, ʌflɪkʃʌnz
afflicts, ʌflɪkts
afflik, æflɪk
affluence, æfluʌns
affluent, æfluʌnt
affolter, æfoʊltɚ
afford, ʌfɔrd
affordability, ʌfɔrdʌbɪlʌtɪ
affordable, ʌfɔrdʌbʌl
affordably, ʌfɔrdʌblɪ
afforded, ʌfɔrdʌd
affording, ʌfɔrdɪŋ
affords, ʌfɔrdz
affricate, æfrʌkʌt
affricates, æfrʌkʌts
affrication, æfrʌkejʃʌn
affront, ʌfrʌnt
affronted, ʌfrʌntɪd
affronting, ʌfrʌntɪŋ
affronts, ʌfrʌnts
affymax, æfɪmæks
afghan, æfgæn
afghani, æfgɑnɪ
afghani's, æfgænɪz
afghanis, æfgænɪz
afghanistan, æfgænʌstæn
afghanistan's, æfgænʌstænz
afghanistans, æfgænʌstænz
afghans, æfgænz
afheldt, æfɛlt
aficionado, ʌfɪʃjʌnɑdoʊ
aficionados, ʌfɪʃʌnɑdoʊz
afield, ʌfɪld
afire, ʌfajr
aflame, ʌflejm
aflatoxin, æflʌtɑksɪn
afloat, ʌfloʊt
aflutter, ʌflʌtɚ
afmed, æfmɛd
afonso, ʌfɑnsoʊ
afoot, ʌfʊt
aforementioned, ʌfɔrmɛnʃʌnd
aforesaid, ʌfɔrsɛd
aforethought, ʌfɔrθɑt
afoul, ʌfaʊl
afraid, ʌfrejd
afresh, ʌfrɛʃ
africa, æfrʌkʌ
africa(1), æfrɪkʌ
africa(2), æfɚkʌ
africa's, æfrʌkʌz
africa's(1), æfrɪkʌz
african, æfrʌkʌn
african(1), æfrɪkʌn
africanist, æfrɪkʌnɪst
africanize, æfrʌkʌnajz
africanized, æfrʌkʌnajzd
africans, æfrʌkʌnz
africans(1), æfrɪkʌnz
afridi, ʌfrɪdɪ
afrikaans, æfrʌkɑnz
afrikaner, æfrʌkɑnɚ
afrikanerdom, æfrʌkɑnɚdʌm
afrikaners, æfrɪkɑnɚz
afro, æfroʊ
afroamerican, æfroʊʌmɛrʌkʌn
afroamericans, æfroʊʌmɛrʌkʌnz
afrocentric, æfroʊsɛntrɪk
afsane, ɑfsɑnej
afsane's, ɑfsɑnejz
afshar, æfʃɚ
afshar's, æfʃɚz
aft, æft
after, æftɚ
afterall, æftɚɑl
afterburner, æftɚbɚnɚ
afterburners, æftɚbɚnɚz
aftereffect, æftɚʌfɛkt
aftereffects, æftɚʌfɛkts
afterglow, æftɚgloʊ
afterglows, æftɚgloʊz
afterhours, æftɚhaʊɚz
afterimage, æftɚɪmɪʤ
afterimages, æftɚɪmɪʤʌz
afterlife, æftɚlajf
afterlives, æftɚlajvz
aftermarket, æftɚmɑrkɪt
aftermarkets, æftɚmɑrkɪts
aftermath, æftɚmæθ
aftermaths, æftɚmæθs
afternoon, æftɚnun
afternoon's, æftɚnunz
afternoons, æftɚnunz
aftershave, æftɚʃejv
aftershaves, æftɚʃejvz
aftershock, æftɚʃɑk
aftershocks, æftɚʃɑks
aftertaste, æftɚtejst
aftertastes, æftɚtejsts
aftertastes(1), æftɚtejs
aftertax, æftɚtæks
afterthought, æftɚθɑt
afterthought(1), æftɚθɔt
afterthoughts, æftɚθɑts
afterthoughts(1), æftɚθɔts
afterward, æftɚwɚd
afterwards, æftɚwɚdz
afula, ʌfulʌ
afula's, ʌfulʌz
ag, æg
ag(1), ejgɪ
ag's, ægz
aga, ɑgʌ
agache, ægæʧ
agache's, ægæʧʌz
agaches, ægæʧʌz
again, ʌgɛn
again(1), ʌgejn
against, ʌgɛnst
against(1), ʌgejnst
agamemnon, ægʌmɛmnɑn
agamemnon's, ægʌmɛmnɑnz
agan, ejgʌn
agana, ʌgɑnʌ
aganbegyan, ægʌnbɛgjʌn
agans, ɑgɑnz
agape, ʌgejp
agar, ejgɚ
agard, ægɚd
agarwal, ɑgɑrwɑl
agasp, ʌgæsp
agassi, ægʌsɪ
agassiz, ʌgæsɪz
agate, ægʌt
agates, ægʌts
agatha, ægʌθʌ
agawam, ægʌʊɑm
agco, ægkoʊ
age, ejʤ
age's, ejʤɪz
aged, ejʤd
aged(1), ejʤɪd
agee, ejʤɪ
agee's, ejʤɪz
ageless, ejʤlʌs
agematsu, ægʌmætsu
agence, æʤʌns
agencies, ejʤʌnsɪz
agencies', ejʤʌnsɪz
agency, ejʤʌnsɪ
agency's, ejʤʌnsɪz
agenda, ʌʤɛndʌ
agendas, ʌʤɛndʌz
agent, ejʤʌnt
agent's, ejʤʌnts
agents, ejʤʌnts
agents', ejʤʌnts
ager, ejʤɚ
ageratum, ʌʤɛrʌtʌm
ageratums, ʌʤɛrʌtʌmz
agers, ejʤɚz
agers', ejʤɚz
agerton, ejgɚtʌn
ages, ejʤʌz
ages(1), ejʤɪz
agfa, ægfʌ
aggarwal, ʌgɑrwʌl
aggie, ægɪ
aggies, ægɪz
agglomerate, ʌglɑmɚejt
agglomeration, ʌglɑmɚejʃʌn
agglutinate, ʌglutɪnejt
aggrandize, ʌgrændajz
aggrandizement, ægrʌndajzmʌnt
aggrandizement(1), ʌgrændajzmʌnt
aggrandizing, ægrʌndajzɪŋ
aggrandizing(1), ʌgrændajzɪŋ
aggravate, ægrʌvejt
aggravated, ægrʌvejtʌd
aggravated(1), ægrʌvejtɪd
aggravates, ægrʌvejts
aggravating, ægrʌvejtɪŋ
aggravation, ægrʌvejʃʌn
aggregate, ægrʌgʌt
aggregate(1), ægrʌgɪt
aggregate(2), ægrʌgejt
aggregated, ægrʌgejtʌd
aggregates, ægrʌgɪts
aggregates(1), ægrʌgejts
aggress, ʌgrɛs
aggression, ʌgrɛʃʌn
aggressions, ʌgrɛʃʌnz
aggressive, ʌgrɛsɪv
aggressively, ʌgrɛsɪvlɪ
aggressiveness, ʌgrɛsɪvnʌs
aggressivity, ʌgrɛsɪvɪtɪ
aggressor, ʌgrɛsɚ
aggressors, ʌgrɛsɚz
aggrey, ægrej
aggrieve, ʌgrɪv
aggrieved, ʌgrɪvd
aggy, ægɪ
aghast, ʌgæst
aghazadeh, ægʌzɑdɛ
agie, ægɪ
agildo, ʌgɪldoʊ
agile, æʤʌl
agilis, ʌʤɪlʌs
agility, ʌʤɪlʌtɪ
agin, ɑʤɪn
agincourt, æʤʌnkɔrt
aging, ejʤɪŋ
agins, ejgɪnz
agip, ejgɪp
agitate, æʤʌtejt
agitated, æʤʌtejtʌd
agitating, æʤʌtejtɪŋ
agitation, æʤʌtejʃʌn
agitator, æʤʌtejtɚ
agitators, æʤɪtejtɚz
agitprop, æʤʌtprɔp
agius, ejʤɪɪs
agleam, ʌglɪm
agler, æglɚ
